DISTRITO;SECCION;CLAVE;SIGLA;NOMBRE;NUMERO;BARRIADA;CAT_FISCAL;C_POSTAL
1;1;31300;CALLE;O'DONNELL;ENTERA;;A;51001
3;7;19301;BARDA;O'DONNELL;ENTERA;BDA. O'DONNELL;D;51002
3;12;2700;AVDA;OTERO;2 AL 24;BDA. OTERO;C;51001
3;3;2701;AVDA;OTERO;1 AL 5;BDA. OTERO;C;51001
3;5;3300;AVDA;OTERO;7 AL 17;BDA. OTERO;C;51002
3;8;3303;AVDA;OTERO;19 AL FIN;BDA. SAN JOSE;C;51002
1;2;55142;CALLE;PABLO IGLESIAS;ENTERA;;B;0
1;2;31800;CALLE;PADILLA;ENTERA;;B;51001
6;2;36500;PLAZA;PADRE CERVOS;ENTERA;BDA. PRINCIPE ALFONSO;E;51003
4;2;34300;CALLE;PADRE FEIJOO;ENTERA;BDA. VILLA JOVITA;B;51002
1;8;49100;PLAZA;PADRE MUÑOZ DE ARENILLAS;ENTERA;;B;51001
1;1;19300;PASEO;PALMERAS (DE LAS);ENTERA;;A;51001
4;6;35000;CALLE;PANAMA;ENTERA;BDA. SAN JOSE;D;51002
4;9;1600;ARRY;PANEQUE;ENTERA;BDA. SAN JOSE;E;51002
4;10;35600;CALLE;PARAMO SARRASI;ENTERA;BDA. SAN JOSE;D;51002
1;4;55111;PSAJE;PASAJE DEL SILENCIO;ENTERA;;B;0
1;1;55113;PSAJE;PASAJE EDUARDO GALLARDO;ENTERA;;A;0
2;1;39000;LUGAR;PATIO BISAGRA;ENTERA;;C;51001
2;7;37800;LUGAR;PATIO CASTILLO;ENTERA;;C;51001
2;1;36800;LUGAR;PATIO CENTENERO;ENTERA;;C;51001
2;1;37700;LUGAR;PATIO CONTRERAS;ENTERA;;C;51001
1;7;5600;LUGAR;PATIO DON JUAN;ENTERA;;C;51001
1;2;37600;LUGAR;PATIO HACHUEL;ENTERA;;C;51001
2;7;48900;LUGAR;PATIO HUERTA (DE LA);ENTERA;;C;51001
6;2;53600;LUGAR;PATIO JUAN DIAZ;ENTERA;BDA. PRINCIPE ALFONSO;E;51003
1;4;38200;LUGAR;PATIO MORALES;ENTERA;;C;51001
1;10;25801;LUGAR;PATIO PARAMO;ENTERA;;C;51001
1;7;3600;LUGAR;PATIO TAHONA (DE LA);ENTERA;;C;51001
1;10;49000;LUGAR;PATIO VIÑA;ENTERA;;C;51001
1;6;49200;PLAZA;PAZ (DE LA);ENTERA;;C;51001
3;7;39100;CALLE;PEDRO DE ALVARADO;ENTERA;BDA. O'DONNELL;D;51002
1;3;32400;CALLE;PEDRO DE MENESES;ENTERA;;B;51001
3;7;36300;CALLE;PEDRO DE VALDIVIA;ENTERA;BDA. O'DONNELL;D;51002
4;1;55106;CALLE;PEDRO MORENO (PERICO);ENTERA;BDA. OTERO;C;51002
4;6;35100;PSAJE;PEDROSA;ENTERA;BDA. SAN JOSE;D;51002
2;7;33300;CALLE;PELIGROS;ENTERA;;C;51001
1;1;55130;CALLE;PEPE DURAN;ENTERA;;A;51001
2;1;13900;CALLE;PEPE REMIGIO;ENTERA;;A;51001
1;1;55145;CALLE;PEPE SERON;ENTERA;;A;51001
4;7;35200;CALLE;PEREZ DEL CAMINO;ENTERA;BDA. ESPAÑA;D;51002
4;2;34400;CALLE;PEREZ GALDOS;ENTERA;BDA. VILLA JOVITA;C;51002
3;6;36600;CALLE;PEREZ SERRANO;ENTERA;BDA. PUERTAS DEL CAMPO;C;51001
4;7;35300;PSAJE;PERLA;ENTERA;BDA. ESPAÑA;D;51001
4;2;2000;ARRY;PEZ (DEL);ENTERA;BDA. VILLA JOVITA;D;51002
2;3;33700;PSAJE;PILAR (DEL);ENTERA;;C;51001
5;1;34003;CALLE;PINAR;ENTERA;BDA. LA LIBERTAD;C;51002
2;5;34100;LUGAR;PINO GORDO;ENTERA;BDA. CAMPO INTERIOR;C;51005
2;5;54700;CALLE;PINOS DEL VALLE;ENTERA;BDA. VIRGEN DEL VALLE;C;51005
1;4;55110;PLAZA;PLAZA DE LA SANTA CRUZ;ENTERA;;C;0
1;4;55112;PLAZA;PLAZA Mª DEL CARMEN CERDEIRA;ENTERA;;A;0
1;1;55114;PLAZA;PLAZA MENAHEN GABIZON;ENTERA;;A;0
1;1;55115;PLAZA;PLAZA PADRE PERPEN;ENTERA;;A;0
6;2;38600;BARRO;POBLADO LEGIONARIO;ENTERA;BDA. PRINCIPE ALFONSO;E;51003
5;5;38800;BARRO;POBLADO SANIDAD;ENTERA;BDA. SAN JOSE;C;51002
3;2;30800;MUELL;PONIENTE;ENTERA;BDA. LA PUNTILLA;C;51001
6;1;8800;CTRA;POSTIGO;ENTERA;BDA. PLAYA BENITEZ;D;51004
6;1;17200;BARDA;POSTIGO;ENTERA;BDA. CAMPO EXTERIOR;D;51004
2;5;51800;CTRA;POTABILIZADORA;ENTERA;BDA. CAMPO INTERIOR;E;51005
5;1;34002;CALLE;POZO;ENTERA;BDA. LA LIBERTAD;D;51002
2;5;34000;CALLE;POZO RAYO;PARES;;C;51005
2;4;34004;CALLE;POZO RAYO;IMPARES;;C;51005
2;6;34001;BARRO;POZO RAYO ALTO;ENTERA;;C;51005
6;2;11500;CTRA;PRINCIPE (DEL);ENTERA;BDA. PRINCIPE ALFONSO;E;51003
6;3;43701;GRUP;PRINCIPE FELIPE;ENTERA;BDA. PRINCIPE FELIPE;E;51003
5;7;12600;CITO;PRISION PROVINCIAL;ENTERA;BDA. SAN JOSE;D;51002
2;5;38910;CALLE;PROFESOR GORDILLO OSUNA;ENTERA;BDA. CAMPO INTERIOR;C;51002
2;5;54300;CALLE;PUENTE DEL VALLE;ENTERA;BDA. VIRGEN DEL VALLE;C;51005
4;3;35800;CALLE;PUERTO RICO;ENTERA;BDA. TERRONES;D;51002
2;5;51900;CTRA;PUNTA ALMINA;ENTERA;BDA. CAMPO INTERIOR;C;51005
6;5;7202;LUGAR;PUNTA BLANCA;ENTERA;BDA. BENZU;C;51004
3;2;28600;MUELL;PUNTILLA (DE LA);ENTERA;BDA. LA PUNTILLA;C;51001
3;2;40700;CTRA;PUNTILLA (DE LA);16 AL FIN;BDA. LA PUNTILLA;C;51001
3;13;40705;CTRA;PUNTILLA (DE LA);1 AL 15;BDA. LA PUNTILLA;C;51001
3;13;40710;CTRA;PUNTILLA (DE LA);2 AL 14;BDA. LA PUNTILLA;C;51001
3;2;40701;CTRA;PUNTILLA (DE LA);17 AL FIN;BDA. LA PUNTILLA;C;51001
4;6;34900;CALLE;PUYUELO DOMENET;ENTERA;BDA. SAN JOSE;D;51002
1;1;39300;CALLE;QUEIPO DE LLANO;ENTERA;;B;51001
6;4;39500;LUGAR;QUEMADERO;ENTERA;BDA. CAMPO EXTERIOR;E;51003
6;4;49400;PNTE;QUEMADERO (DEL);ENTERA;BDA. CAMPO EXTERIOR;E;51003
4;2;39400;CALLE;QUEVEDO;ENTERA;BDA. VILLA JOVITA;C;51002
3;5;55124;CALLE;RADIOAFICIONADOS;1;;B;0
3;4;55134;CALLE;RADIOAFICIONADOS;3 AL FIN;;B;0
4;3;3210;CALLE;RAFAEL BORREGO;ENTERA;BDA. TERRONES;C;51002
1;2;37900;PLAZA;RAFAEL GIBERT;ENTERA;;A;51001
1;2;15700;ESCA;RAFAEL GIBERT;ENTERA;;B;51001
6;4;5200;CALLE;RAFAEL OROZCO;ENTERA;BDA. PRINCIPE ALFONSO;E;51003
6;3;43706;CALLE;RAFAEL PASAMAR PEREÑA;ENTERA;BDA. PRINCIPE FELIPE;E;51003
4;10;40300;CALLE;RALLO ROMERO;ENTERA;BDA. SAN JOSE;D;51002
4;7;40100;CALLE;RAMIREZ YUSTE;ENTERA;BDA. ESPAÑA;D;51002
4;2;40000;CALLE;RAMON DE CAMPOAMOR;ENTERA;BDA. VILLA JOVITA;C;51002
5;2;50001;PLAZA;RAMON DE LA CRUZ;ENTERA;BDA. LOS ROSALES;D;51002
5;1;2310;CALLE;RAMON MORALES ORDOÑEZ;ENTERA;BDA. LA LIBERTAD;C;51002
2;2;39800;CALLE;RAMON Y CAJAL;ENTERA;;C;51001
1;10;39700;CALLE;RAMPA DE ABASTOS;ENTERA;;C;51001
2;1;16100;CALLE;REAL;2 AL 26;;A;51001
1;8;16101;CALLE;REAL;1 AL 39;;A;51001
1;6;16102;CALLE;REAL;41 AL 61;;A;51001
1;7;16103;CALLE;REAL;67 AL FIN;;A;51001
2;2;16104;CALLE;REAL;28 AL 72;;B;51001
2;3;16105;CALLE;REAL;74 AL 76;;B;51001
1;9;16107;CALLE;REAL;63 AL 65;;B;51001
2;7;16106;CALLE;REAL;78 AL 94;;B;51001
2;4;16108;CALLE;REAL;96 AL FIN;;B;51001
1;4;39600;CALLE;RECINTO SUR;1 AL 5;;C;51001
2;2;39601;CALLE;RECINTO SUR;9 AL 33;;C;51001
1;4;39602;CALLE;RECINTO SUR;2 AL 4;;C;51001
2;3;39603;CALLE;RECINTO SUR;35 AL 41;;C;51001
2;7;39604;CALLE;RECINTO SUR;43 AL FIN;;C;51001
2;1;39605;CALLE;RECINTO SUR;6 AL 8;;C;51001
2;2;39606;CALLE;RECINTO SUR;10 AL 34;;C;51001
2;3;39607;CALLE;RECINTO SUR;36 AL 42;;C;51001
2;7;39608;CALLE;RECINTO SUR;44 AL FIN;;C;51001
2;1;39609;CALLE;RECINTO SUR;7;;C;51001
2;4;300;PSAJE;RECREO ALTO;ENTERA;;C;51001
2;7;51600;PSAJE;RECREO BAJO;ENTERA;;C;51001
2;7;33400;PSAJE;RECREO CENTRAL;ENTERA;;C;51001
6;5;47800;CJTO;RED PERMANENTE;ENTERA;BDA. CAMPO EXTERIOR;D;51004
5;6;20200;CJTO;REGIMIENTO MONTESA;ENTERA;BDA. CAMPO EXTERIOR;E;51004
5;6;46910;AVDA;REGIMIENTO MONTESA (DEL);ENTERA;BDA. CAMPO EXTERIOR;D;51004
5;5;39200;BARRO;REGULARES (POBLADO);ENTERA;BDA. SAN JOSE;D;51002
4;1;9100;CJTO;REGULARES 1 (CUARTEL);ENTERA;BDA. TERRONES;B;51002
5;5;10800;CJTO;REGULARES 3 (CUARTEL);ENTERA;BDA. SAN JOSE;B;51002
5;5;36000;GRUP;REGULARES 3 (PABELLONES);ENTERA;BDA. SAN JOSE;D;51002
3;8;2500;AVDA;REGULARES de CEUTA;PARES;BDA. SAN JOSE;B;51002
4;6;2501;AVDA;REGULARES de CEUTA;IMPARES;BDA. SAN JOSE;B;51002
6;1;2200;ARRY;RENEGADO (DEL);ENTERA;BDA. CAMPO EXTERIOR;E;51004
3;2;24500;JDIN;REPUBLICA ARGENTINA;ENTERA;BDA. PUERTAS DEL CAMPO;C;51001
3;2;49500;CJTO;RESIDENCIA GENERAL GALERA;ENTERA;BDA. LA PUNTILLA;A;51002
1;2;25500;CJTO;RESIDENCIA JUVENTUD;;;A;51001
6;1;11901;CJTO;RESIDENCIA NAZARETH;ENTERA;BDA. CAMPO EXTERIOR;D;51004
1;2;41100;CJTO;RESIDENCIA OF.LEGION(P.COLON);;;B;51001
3;8;52600;CJTO;RESIDENCIA OTERO;ENTERA;BDA. OTERO;A;51002
5;5;10202;CJTO;RESIDENCIA SUBOFICIALES;ENTERA;BDA. SAN JOSE;B;51002
1;2;24200;PASEO;REVELLIN (DEL);ENTERA;;A;51001
1;3;32300;PLAZA;REYES (DE LOS);ENTERA;;A;51001
4;7;3100;AVDA;REYES CATOLICOS;6 AL FIN;BDA. ESPAÑA;B;51002
3;14;3101;AVDA;REYES CATOLICOS;1 AL 11;BDA. ESPAÑA;B;51002
4;8;3102;AVDA;REYES CATOLICOS;13 AL FIN;BDA. ESPAÑA;B;51002
4;6;3103;AVDA;REYES CATOLICOS;2 AL 4;BDA. SAN JOSE;B;51002
1;1;31600;PLAYA;RIBERA (DE LA);;;A;51001
4;2;49600;CALLE;RODRIGUEZ BERLANGA;ENTERA;BDA. VILLA JOVITA;C;51002
1;2;31900;PSAJE;ROMERO;ENTERA;;C;51001
4;9;17900;CALLE;ROMERO CORDOBA;ENTERA;BDA. SAN JOSE;B;51002
3;14;40500;CALLE;ROMERO DE TORRES;ENTERA;BDA. O'DONNELL;D;51002
4;11;12000;COL;ROMEU;ENTERA;BDA. ALMADRABA;C;51003
5;7;26500;CALLE;ROSALES (LOS);ENTERA;BDA. SAN JOSE;D;51002
5;2;50000;GRUP;ROSALES (LOS);ENTERA;BDA. LOS ROSALES;D;51002
4;8;19302;LOMA;RUBIO;;BDA. O'DONNELL;C;51002
4;10;40200;CALLE;RUIZ ALVAREZ;ENTERA;BDA. SAN JOSE;D;51002
4;2;39900;CALLE;RUIZ DE ALARCON;ENTERA;BDA. VILLA JOVITA;C;51002
4;11;36400;PSAJE;RUIZ MEDINA;ENTERA;BDA. ALMADRABA;D;51002
2;2;6200;BARRO;SALUD (DE LA);ENTERA;;C;51001
2;2;48800;PSAJE;SALUD (DE LA);ENTERA;;C;51001
1;9;41800;CALLE;SALUD TEJERO;1 AL 13;;C;51001
1;7;41801;CALLE;SALUD TEJERO;8 AL FIN;;C;51001
1;9;41802;CALLE;SALUD TEJERO;2 AL 6;;C;51001
1;7;41803;CALLE;SALUD TEJERO;15 AL FIN;;C;51001
2;5;8400;PLAYA;SAN AMARO;ENTERA;BDA. SAN AMARO;C;51001
2;5;8401;AVDA;SAN AMARO;ENTERA;BDA. SAN AMARO;C;51001
2;5;8402;CTRA;SAN AMARO;ENTERA;BDA. SAN AMARO;C;51001
2;5;13200;BARDA;SAN AMARO;ENTERA;BDA. SAN AMARO;C;51001
2;5;49900;LUGAR;SAN AMARO (VIVEROS);ENTERA;BDA. SAN AMARO;C;51001
2;5;42000;LUGAR;SAN ANTONIO;ENTERA;BDA. CAMPO INTERIOR;C;51005
2;5;52000;CTRA;SAN ANTONIO;ENTERA;BDA. CAMPO INTERIOR;C;51005
2;5;38900;URB;SAN ANTONIO (POBLADO);ENTERA;BDA. CAMPO INTERIOR;C;51002
5;6;20701;GRUP;SAN DANIEL;ENTERA;BDA. LA LIBERTAD;C;51002
6;4;42200;CALLE;SAN DANIEL;ENTERA;BDA. PRINCIPE ALFONSO;C;51003
3;1;3900;AVDA;SAN FRANCISCO JAVIER;ENTERA;BDA. PUERTAS DEL CAMPO;C;51001
2;5;54500;CALLE;SAN JOSE DEL VALLE;ENTERA;BDA. VIRGEN DEL VALLE;C;51005
3;1;4000;AVDA;SAN JUAN DE DIOS;ENTERA;BDA. PUERTAS DEL CAMPO;C;51001
4;3;55135;CALLE;SAN PEDRO;ENTERA;PEDRO LAMATA;C;0
1;2;30500;JDIN;SAN SEBASTIAN;;;C;51001
2;5;54600;CALLE;SAN VICENTE DEL VALLE;ENTERA;BDA. VIRGEN DEL VALLE;C;51005
2;5;12700;CTRA;SANTA CATALINA;ENTERA;BDA. CAMPO INTERIOR;D;51005
2;5;54900;CALLE;SANTA CRUZ DEL VALLE;ENTERA;BDA. VIRGEN DEL VALLE;C;51005
1;4;41300;CALLE;SANTANDER;3 AL FINAL;;B;51001
1;2;41301;CALLE;SANTANDER;1;;B;51001
1;2;41302;CALLE;SANTANDER;2;;B;51001
3;1;1201;PLAZA;SANTIAGO;ENTERA;;C;51001
4;3;5401;CALLE;SANTIAGO APOSTOL;ENTERA;BDA. TERRONES;D;51001
2;6;42100;BARDA;SARCHAL (EL);ENTERA;BDA. SARCHAL;C;51005
4;1;42600;BARDA;SARDINERO (EL);ENTERA;BDA. OTERO;C;51002
2;1;42300;CALLE;SARGENTO CORIAT;ENTERA;;B;51001
2;2;42700;CALLE;SARGENTO CORIAT, PROLONGACION;ENTERA;;B;51001
1;5;41600;CALLE;SARGENTO MENA;1 AL 3;;B;51001
1;3;41601;CALLE;SARGENTO MENA;PARES;;B;51001
1;8;41602;CALLE;SARGENTO MENA;5 AL FIN;;B;51001
4;4;21106;CALLE;SATURNO;ENTERA;BDA. TERRONES;D;51002
6;5;11100;CTRA;SERRALLO (DEL);ENTERA;BDA. CAMPO EXTERIOR;E;51003
4;2;9400;CTRA;SERVICIO (DE);ENTERA;BDA. LA PUNTILLA;D;51001
2;3;41900;CALLE;SEVILLA;ENTERA;;C;51001
1;6;41700;CALLE;SIMOA;ENTERA;;C;51001
4;4;21107;CALLE;SOL (DEL);ENTERA;BDA. TERRONES;D;51002
5;7;14200;CALLE;SOLDADO VALLE ALMAZAN;ENTERA;BDA. SAN JOSE;D;51002
5;7;44100;TRVAL;SOLDADO VALLE ALMAZAN;ENTERA;BDA. SAN JOSE;D;51002
1;3;41500;CALLE;SOLIS;ENTERA;;B;51001
5;6;20600;GRUP;SOLIS;ENTERA;BDA. LA LIBERTAD;C;51001
4;5;42900;CALLE;SOUSA RODRIGUEZ;ENTERA;BDA. SAN JOSE;D;51002
6;2;53900;CALLE;SUCESO TERREROS;ENTERA;BDA. PRINCIPE ALFONSO;E;51003
6;3;50400;CJTO;TARAJAL (CERAMICA);;BDA. PRINCIPE FELIPE;C;51003
6;3;13000;CTRA;TARAJAL (DEL);ENTERA;BDA. PRINCIPE FELIPE;E;51003
6;3;43700;LUGAR;TARAJAL (FRONTERA);ENTERA;BDA. PRINCIPE FELIPE;C;51003
6;3;50600;GRUP;TARAJAL (GUARDIA CIVIL);ENTERA;BDA. PRINCIPE FELIPE;E;51003
6;3;50300;GRUP;TARAJAL (TORRE);ENTERA;BDA. PRINCIPE FELIPE;E;51003
6;5;43800;LUGAR;TEJAR DE INGENIEROS;ENTERA;BDA. LOS ROSALES;D;51003
1;8;43200;CALLE;TENIENTE ARRABAL;1 AL 3;;B;51001
1;6;43201;CALLE;TENIENTE ARRABAL;PARES;;B;51001
1;5;43202;CALLE;TENIENTE ARRABAL;5 AL FIN;;B;51001
6;2;53800;CALLE;TENIENTE CORONEL CATEDRA;ENTERA;BDA. PRINCIPE ALFONSO;E;51003
4;6;43500;CALLE;TENIENTE CORONEL GAUTIER;1 AL 51;BDA. SAN JOSE;B;51002
4;10;43501;CALLE;TENIENTE CORONEL GAUTIER;53 AL FIN;BDA. SAN JOSE;B;51002
4;9;43502;CALLE;TENIENTE CORONEL GAUTIER;PARES;BDA. SAN JOSE;B;51002
4;1;1800;AVDA;TENIENTE GENERAL MUSLERA;IMPARES;BDA. OTERO;D;51002
3;13;1801;AVDA;TENIENTE GENERAL MUSLERA;PARES;BDA. CAMPO EXTERIOR;D;51002
1;2;43000;CALLE;TENIENTE JOSE OLMO;ENTERA;;B;51001
1;2;31810;CALLE;TENIENTE MUÑOZ CASTELLANOS;ENTERA;;B;51001
1;5;43100;CALLE;TENIENTE PACHECO;ENTERA;;B;51001
1;2;21500;GTA;TENIENTE REINOSO;ENTERA;;C;51001
1;2;32000;PLAZA;TENIENTE RUIZ;1 AL 1;;A;51001
1;3;32001;PLAZA;TENIENTE RUIZ;3 AL 3;;A;51001
1;2;32002;PLAZA;TENIENTE RUIZ;2 AL 2;;;51001
1;2;32003;PLAZA;TENIENTE RUIZ;5 AL FIN;;;51001
1;3;32004;PLAZA;TENIENTE RUIZ;4 AL FIN;;A;51001
4;5;43600;CALLE;TERRONES;ENTERA;BDA. TERRONES;B;51002
4;5;43601;LUGAR;TERRONES (FUENTE);ENTERA;BDA. TERRONES;D;51002
2;2;43300;CALLE;TETUAN;ENTERA;;C;51001
6;1;47000;CTRA;TIRO PICHON;ENTERA;BDA. CAMPO EXTERIOR;E;51004
4;2;43400;CALLE;TIRSO DE MOLINA;ENTERA;BDA. VILLA JOVITA;C;51002
4;11;49700;CALLE;TOBOGAN;ENTERA;BDA. ALMADRABA;D;51002
2;5;6600;LUGAR;TORREMOCHA;;BDA. CAMPO INTERIOR;C;51005
4;2;34500;PSAJE;TRUJILLO;ENTERA;BDA. VILLA JOVITA;C;51002
4;6;18400;CALLE;TRUJILLO GONZALEZ;ENTERA;BDA. SAN JOSE;D;51002
5;1;2370;CALLE;ULISES;ENTERA;BDA. LA LIBERTAD;C;51002
4;4;21108;CALLE;URANO;ENTERA;BDA. TERRONES;D;51002
2;5;6500;LUGAR;VALDEAGUAS ALTO;ENTERA;BDA. CAMPO INTERIOR;C;51005
2;5;6501;LUGAR;VALDEAGUAS BAJO;ENTERA;BDA. CAMPO INTERIOR;C;51005
2;2;44500;CALLE;VALDEFLORES;ENTERA;;C;51001
3;8;44700;CALLE;VALDES LEAL;ENTERA;BDA. SAN JOSE;D;51002
1;1;55129;CALLE;VALENTIN CABILLAS;ENTERA;;A;0
4;5;45300;CALLE;VALLEJO BENITEZ;IMPARES;BDA. TERRONES;D;51002
4;4;45301;CALLE;VALLEJO BENITEZ;2 AL 22;BDA. TERRONES;D;51002
4;5;45302;CALLE;VALLEJO BENITEZ;24 AL FIN;BDA. TERRONES;D;51002
3;7;45500;CALLE;VASCO NUÑEZ DE BALBOA;ENTERA;BDA. O'DONNELL;D;51002
1;4;44301;CALLE;VELARDE;PARES;;B;51001
1;2;44300;CALLE;VELARDE;1 AL 11;;B;51001
1;4;44302;CALLE;VELARDE;13 AL FIN;;B;51001
3;14;45400;CALLE;VELAZQUEZ;ENTERA;BDA. O'DONNELL;D;51002
4;5;45000;CALLE;VENEZUELA;ENTERA;BDA. SAN JOSE;D;51002
4;10;44900;CALLE;VICEDO MARTINEZ;ENTERA;BDA. SAN JOSE;C;51002
3;8;55131;PLAZA;VICTIMAS DEL TERRORISMO;ENTERA;;C;0
2;5;46000;LUGAR;VILLA ADELA;ENTERA;BDA. CAMPO INTERIOR;C;51005
4;7;45600;LUGAR;VILLA AURORA;ENTERA;BDA. ALMADRABA;C;51003
4;8;45900;LUGAR;VILLA ELVIRA;ENTERA;BDA. ALMADRABA;C;51003
4;8;49800;LUGAR;VILLA RIOS;ENTERA;BDA. ALMADRABA;C;51003
2;2;45700;CALLE;VILLACAMPA;ENTERA;;C;51001
4;7;44800;CALLE;VIÑAS;ENTERA;BDA. ESPAÑA;D;51002
4;10;15200;TRVAL;VIRGEN DE LA LUZ;ENTERA;BDA. SAN JOSE;D;51002
4;10;45800;CALLE;VIRGEN DE LA LUZ;PARES;BDA. SAN JOSE;D;51002
4;10;45801;CALLE;VIRGEN DE LA LUZ;IMPARES;BDA. SAN JOSE;D;51002
4;3;55141;PLAZA;VIRGEN DE LA PALMA;ENTERA;;C;0
1;9;44400;CALLE;VIRGILIO OÑATE;ENTERA;;C;51001
3;3;29706;CALLE;VIRREY CONDE VERGARA;ENTERA;BDA. OTERO;D;51002
2;2;44600;CALLE;VISTA ALEGRE;ENTERA;;C;51001
4;4;45100;GRUP;VIVIENDAS TERMICA;ENTERA;BDA. TERRONES;B;51002
4;2;9300;COL;WEIL;ENTERA;BDA. VILLA JOVITA;C;51002
4;2;46100;CALLE;ZORRILLA;ENTERA;BDA. VILLA JOVITA;C;51002
3;14;46200;CALLE;ZULOAGA;ENTERA;BDA. O'DONNELL;D;51002
3;14;46300;CALLE;ZURBARAN;ENTERA;BDA. O'DONNELL;D;51002